Val,EpisodeID,SceneID,VehicleArrayID,VehicleName,x,y,z,rays,LOS
I,0,0,0,flow10.0,790.9564898676499,403.179183652,4.3,25,LOS=0
I,0,0,1,flow11.1,837.55069423035,366.9950162741,4.3,25,LOS=0
V,0,0,2,flow2.0,748.92179369545,624.71583797325,1.59,25,LOS=0
I,0,0,3,flow2.2,666.19250672955,670.8911851685,4.3,25,LOS=0
I,0,0,4,flow3.1,763.9392321171,680.2123481654,4.3,25,LOS=0
I,0,0,5,flow3.2,807.06671500365,680.3780515132,4.3,25,LOS=0
V,0,0,6,flow4.0,758.34623635665,676.8908204736499,1.59,25,LOS=0
I,0,0,7,flow6.0,672.15656147955,451.1289546491,4.3,25,LOS=0
I,0,0,8,flow8.0,746.7513053683,425.05411247585,1.59,25,LOS=0
I,0,0,9,flow9.0,822.9098252261499,378.3648349426,4.3,25,LOS=0
I,1,0,0,flow1754.1,685.56857702345,670.7374449629,4.3,25,LOS=0
I,1,0,1,flow1755.1,800.9744123575999,680.3546438187,4.3,25,LOS=0
V,1,0,2,flow1756.0,751.61347059165,674.13846328075,4.3,25,LOS=0
I,1,0,3,flow1756.1,801.49032126985,677.0565876094499,3.2,25,LOS=0
I,1,0,4,flow1756.2,816.6524628022,677.1148432145501,4.3,25,LOS=0
I,1,0,5,flow1757.0,767.9277019392,676.9276341437001,4.3,25,LOS=0
I,1,0,6,flow1758.0,798.12437575375,385.07535751935,4.3,25,LOS=0
I,1,0,7,flow1759.0,765.4073566315501,432.0667576788,4.3,25,LOS=0
I,1,0,8,flow1760.0,684.2980955733999,452.78483736035,3.2,25,LOS=0
V,1,0,9,flow1763.0,760.15714546955,511.40993157624996,1.59,25,LOS=1
I,2,0,0,flow1752.3,680.1658283083,670.7803132889001,4.3,25,LOS=0
I,2,0,1,flow1754.1,718.94406597205,670.4726258093,4.3,25,LOS=0
I,2,0,2,flow1756.1,786.77319388725,677.00004182665,3.2,25,LOS=0
I,2,0,3,flow1756.2,805.3510194249,677.0714210884,4.3,25,LOS=0
V,2,0,4,flow1757.0,752.84568483365,674.8427625408001,4.3,25,LOS=0
I,2,0,5,flow1758.1,805.98571193175,378.9695400961,1.59,25,LOS=0
I,2,0,6,flow1759.2,735.16591122025,431.3283351045,4.3,25,LOS=0
I,2,0,7,flow1761.0,827.86800296455,374.51440900169996,4.3,25,LOS=0
V,2,0,8,flow1763.0,757.483853587,549.61020584735,1.59,25,LOS=1
I,2,0,9,flow1763.2,838.7952568096,366.0285127938,1.59,25,LOS=0
V,3,0,0,flow1754.0,750.8992141855499,596.45928822485,4.3,25,LOS=0
I,3,0,1,flow1754.1,743.64844292,652.8189301790001,4.3,25,LOS=0
I,3,0,2,flow1755.1,727.64676394795,680.3042086669,4.3,25,LOS=0
V,3,0,3,flow1756.0,748.8496214551501,625.7471504885,4.3,25,LOS=0
I,3,0,4,flow1756.1,775.96200219175,676.9585033334,3.2,25,LOS=0
I,3,0,5,flow1757.3,813.02044139215,677.10088835175,1.59,25,LOS=0
I,3,0,6,flow1759.3,718.7676082186,440.2090518457,1.59,25,LOS=0
I,3,0,7,flow1760.1,695.2601623118001,450.8542510974,4.3,25,LOS=0
I,3,0,8,flow1761.0,805.33482374505,392.0132447386,4.3,25,LOS=0
I,3,0,9,flow1763.1,768.2825616953,442.5532629338,4.3,25,LOS=0
I,4,0,0,flow1752.4,701.9242862925,670.6076699327,4.3,25,LOS=0
V,4,0,1,flow1754.0,753.89175833685,553.6970264259,4.3,25,LOS=1
I,4,0,2,flow1755.2,807.4004997485999,680.3793339727,4.3,25,LOS=0
I,4,0,3,flow1756.1,773.0926666043499,676.9474788431501,3.2,25,LOS=0
V,4,0,4,flow1757.0,749.21525252785,620.5224283581999,4.3,25,LOS=0
I,4,0,5,flow1760.1,714.54238233365,442.4972785145,4.3,25,LOS=0
V,4,0,6,flow1762.0,758.4697505479,582.7684858228499,4.3,25,LOS=0
I,4,0,7,flow1762.2,767.60070468805,452.2963152378,1.59,25,LOS=0
I,4,0,8,flow1762.3,823.82907807475,377.65096077325,4.3,25,LOS=0
V,4,0,9,flow1763.0,752.1365191949,626.02148054945,1.59,25,LOS=0
I,5,0,0,flow1752.3,785.9487364417,670.3967588514,4.3,25,LOS=0
I,5,0,1,flow1755.2,798.279339634,680.344288877,4.3,25,LOS=0
I,5,0,2,flow1756.3,810.7002325931501,677.0919737029,3.2,25,LOS=0
I,5,0,3,flow1757.1,761.4697234178,676.8807233991499,4.3,25,LOS=0
I,5,0,4,flow1757.3,798.84373111205,677.0464189462,1.59,25,LOS=0
V,5,0,5,flow1759.1,759.3847054693,522.4477909512,4.3,25,LOS=0
I,5,0,6,flow1759.2,756.23894344105,421.56804502635,4.3,25,LOS=0
I,5,0,7,flow1759.3,734.1620458274,431.87199161575,1.59,25,LOS=0
I,5,0,8,flow1761.0,736.7850567047,437.9555807839,4.3,25,LOS=0
V,5,0,9,flow1763.0,750.0602220727,655.69093791485,1.59,25,LOS=0
I,6,0,0,flow1752.4,782.4325346646999,670.3832489879001,4.3,25,LOS=0
I,6,0,1,flow1754.2,732.20795750735,670.3673829308,4.3,25,LOS=0
V,6,0,2,flow1757.1,751.5218856962499,674.06347581865,4.3,25,LOS=0
V,6,0,3,flow1759.0,755.46743866835,578.4239704188001,4.3,25,LOS=1
V,6,0,4,flow1759.2,765.21428936185,439.14536332110004,4.3,25,LOS=0
I,6,0,5,flow1759.3,745.5863042298,425.68503417025,1.59,25,LOS=0
I,6,0,6,flow1760.1,733.8138196862001,432.06057806405,4.3,25,LOS=0
I,6,0,7,flow1762.3,769.37617914725,429.27832405765,4.3,25,LOS=0
V,6,0,8,flow1763.0,749.4990101395,663.7104324990501,1.59,25,LOS=0
V,6,0,9,flow1763.2,762.36798315875,479.81794319435,1.59,25,LOS=0
I,7,0,0,flow1755.3,765.96339405925,680.2201253503,4.3,25,LOS=0
I,7,0,1,flow1756.3,797.7082214248501,677.04205611895,3.2,25,LOS=0
V,7,0,2,flow1757.1,747.18585614685,649.52169284665,4.3,25,LOS=0
I,7,0,3,flow1757.2,778.95965455245,676.9700208391,1.59,25,LOS=0
I,7,0,4,flow1757.3,787.4273962259,677.0025553867,1.59,25,LOS=0
V,7,0,5,flow1759.0,753.41878458615,607.6984197742499,4.3,25,LOS=0
V,7,0,6,flow1759.1,755.0501079446999,584.38745993175,4.3,25,LOS=0
I,7,0,7,flow1759.3,764.3136119702,422.33851225440003,1.59,25,LOS=0
I,7,0,8,flow1760.1,745.29961272015,425.84029572925,4.3,25,LOS=0
V,7,0,9,flow1762.1,757.0395462643,603.20466964245,4.3,25,LOS=0
I,8,0,0,flow1753.0,744.4126973800501,641.89143219705,3.2,25,LOS=0
I,8,0,1,flow1754.3,743.00371043055,662.03747366835,1.59,25,LOS=0
I,8,0,2,flow1754.4,702.19057194765,670.60555707855,3.2,25,LOS=0
I,8,0,3,flow1755.3,727.4251586678499,680.3059670029,4.3,25,LOS=0
I,8,0,4,flow1755.4,748.16471071295,680.1937911673999,1.59,25,LOS=0
V,8,0,5,flow1756.0,758.2239359842999,444.4149504005,4.3,25,LOS=0
V,8,0,6,flow1757.1,749.49601022405,616.51051291085,4.3,25,LOS=0
I,8,0,7,flow1757.3,773.6926847643999,676.9497842180999,1.59,25,LOS=0
V,8,0,8,flow1759.2,759.14894129915,525.81676686545,4.3,25,LOS=1
I,8,0,9,flow1762.0,779.1362160003,670.3705839539,4.3,25,LOS=0
I,9,0,0,flow1752.5,669.82592730215,670.8623556475,3.2,25,LOS=0
I,9,0,1,flow1754.4,740.07142181525,667.89456180035,3.2,25,LOS=0
I,9,0,2,flow1756.3,772.1878264678501,676.9440022888,3.2,25,LOS=0
V,9,0,3,flow1757.0,760.3389462714499,461.5692834785,4.3,25,LOS=0
V,9,0,4,flow1757.3,760.4222817082,676.8987970037499,1.59,25,LOS=0
I,9,0,5,flow1757.5,817.0915415843,677.1165302321999,1.59,25,LOS=0
I,9,0,6,flow1757.6,812.2421546343501,680.39793645935,3.2,25,LOS=0
V,9,0,7,flow1759.2,756.3255247923,566.16226211235,4.3,25,LOS=1
V,9,0,8,flow1762.2,754.57721261775,638.3889461860999,1.59,25,LOS=0
V,9,0,9,flow1763.0,749.4491853408,664.42240899075,1.59,25,LOS=0
I,10,0,0,flow10.0,816.6944031640501,670.5148890915,3.2,25,LOS=0
V,10,0,1,flow10.1,754.3875634081501,641.09884305435,4.3,25,LOS=0
I,10,0,2,flow10.4,773.10281377915,419.39933780855,4.3,25,LOS=0
V,10,0,3,flow11.1,756.68830371575,560.97829605725,1.59,25,LOS=1
V,10,0,4,flow11.2,763.27296811235,466.88606932560003,3.2,25,LOS=0
V,10,0,5,flow2.3,752.54478973405,572.94467027615,3.2,25,LOS=1
I,10,0,6,flow6.3,828.19833132235,361.71723140195,4.3,25,LOS=0
